minutes_watched,CLV,region,channel,CLV_wins,Region,Channel
3197.0,205.42,2,4,205.42,Rest_of_the_world,LinkedIn
63.0,149.99,0,1,149.99,USA/Canada/As,Google
605.0,119.0,2,2,119.0,Rest_of_the_world,Facebook
20.0,240.0,2,4,240.0,Rest_of_the_world,LinkedIn
245.0,184.36,1,4,184.36,West_EU,LinkedIn
259.0,418.63,0,3,281.105,USA/Canada/As,YouTube
5456.0,245.17,0,1,245.17,USA/Canada/As,Google
247.0,177.98,1,3,177.98,West_EU,YouTube
160.0,283.44,0,3,281.105,USA/Canada/As,YouTube
77.0,295.97,1,1,281.105,West_EU,Google
231.0,202.88,0,3,202.88,USA/Canada/As,YouTube
611.0,149.99,0,4,149.99,USA/Canada/As,LinkedIn
5915.0,366.45,1,1,281.105,West_EU,Google
816.0,82.58,2,3,82.58,Rest_of_the_world,YouTube
1312.0,269.97,2,3,269.97,Rest_of_the_world,YouTube
28988.0,253.93,2,8,253.93,Rest_of_the_world,Other
1319.0,193.63,0,1,193.63,USA/Canada/As,Google
9158.0,53.94,0,1,53.94,USA/Canada/As,Google
51411.0,449.42,2,3,281.105,Rest_of_the_world,YouTube
2812.0,207.12,1,3,207.12,West_EU,YouTube
5811.0,180.17,2,3,180.17,Rest_of_the_world,YouTube
1574.0,180.17,1,6,180.17,West_EU,Instagram
8121.0,269.97,0,8,269.97,USA/Canada/As,Other
399.0,149.99,2,4,149.99,Rest_of_the_world,LinkedIn
1817.0,269.97,0,3,269.97,USA/Canada/As,YouTube
42437.0,285.76,0,3,281.105,USA/Canada/As,YouTube
5574.0,286.17,2,3,281.105,Rest_of_the_world,YouTube
266.0,149.99,2,7,149.99,Rest_of_the_world,Friend
4461.0,287.49,0,1,281.105,USA/Canada/As,Google
3326.0,102.18,2,4,102.18,Rest_of_the_world,LinkedIn
9410.0,185.98,2,5,185.98,Rest_of_the_world,Twitter
1632.0,202.04,2,1,202.04,Rest_of_the_world,Google
4071.0,149.98,0,7,149.98,USA/Canada/As,Friend
14036.0,180.52,2,3,180.52,Rest_of_the_world,YouTube
6438.0,515.24,2,1,281.105,Rest_of_the_world,Google
2984.0,363.79,1,3,281.105,West_EU,YouTube
61.0,149.99,0,4,149.99,USA/Canada/As,LinkedIn
4499.0,86.24,2,2,86.24,Rest_of_the_world,Facebook
315.0,149.98,0,4,149.98,USA/Canada/As,LinkedIn
2991.0,306.58,2,1,281.105,Rest_of_the_world,Google
7761.0,176.98,2,1,176.98,Rest_of_the_world,Google
1293.0,358.18,1,1,281.105,West_EU,Google
3602.0,269.96,2,1,269.96,Rest_of_the_world,Google
2843.0,286.09,0,7,281.105,USA/Canada/As,Friend
2646.0,269.97,0,3,269.97,USA/Canada/As,YouTube
1582.0,75.42,2,4,75.42,Rest_of_the_world,LinkedIn
6404.0,528.89,2,1,281.105,Rest_of_the_world,Google
8413.0,302.11,1,3,281.105,West_EU,YouTube
3492.0,223.22,1,7,223.22,West_EU,Friend
34370.0,295.71,0,1,281.105,USA/Canada/As,Google
1188.0,147.0,2,1,147.0,Rest_of_the_world,Google
611.0,353.53,0,3,281.105,USA/Canada/As,YouTube
980.0,359.03,0,4,281.105,USA/Canada/As,LinkedIn
1171.0,268.99,2,5,268.99,Rest_of_the_world,Twitter
55380.0,64.8,0,7,64.8,USA/Canada/As,Friend
3.0,213.61,2,4,213.61,Rest_of_the_world,LinkedIn
1616.0,174.01,2,3,174.01,Rest_of_the_world,YouTube
288.0,184.44,2,7,184.44,Rest_of_the_world,Friend
1465.0,270.49,0,1,270.49,USA/Canada/As,Google
6331.0,99.0,2,4,99.0,Rest_of_the_world,LinkedIn
313.0,118.47,2,1,118.47,Rest_of_the_world,Google
804.0,213.97,2,3,213.97,Rest_of_the_world,YouTube
1971.0,207.55,0,3,207.55,USA/Canada/As,YouTube
1054.0,172.8,2,7,172.8,Rest_of_the_world,Friend
9138.0,245.98,2,4,245.98,Rest_of_the_world,LinkedIn
2128.0,333.9,0,3,281.105,USA/Canada/As,YouTube
3875.0,331.99,0,3,281.105,USA/Canada/As,YouTube
12436.0,84.96,2,3,84.96,Rest_of_the_world,YouTube
3564.0,62.58,2,1,62.58,Rest_of_the_world,Google
2571.0,36.0,0,8,36.0,USA/Canada/As,Other
214.0,119.0,0,3,119.0,USA/Canada/As,YouTube
10616.0,350.09,2,7,281.105,Rest_of_the_world,Friend
55539.0,313.2,2,3,281.105,Rest_of_the_world,YouTube
11578.0,285.36,2,3,281.105,Rest_of_the_world,YouTube
766.0,177.41,2,1,177.41,Rest_of_the_world,Google
2912.0,269.97,0,6,269.97,USA/Canada/As,Instagram
3229.0,62.58,2,1,62.58,Rest_of_the_world,Google
37167.0,388.62,2,3,281.105,Rest_of_the_world,YouTube
59.0,129.6,2,4,129.6,Rest_of_the_world,LinkedIn
1390.0,46.0,2,4,46.0,Rest_of_the_world,LinkedIn
2778.0,227.78,1,4,227.78,West_EU,LinkedIn
613.0,184.44,0,1,184.44,USA/Canada/As,Google
9005.0,285.36,0,1,281.105,USA/Canada/As,Google
4315.0,149.99,2,3,149.99,Rest_of_the_world,YouTube
262.0,174.0,2,4,174.0,Rest_of_the_world,LinkedIn
4308.0,184.45,2,3,184.45,Rest_of_the_world,YouTube
89131.0,496.08,0,7,281.105,USA/Canada/As,Friend
2327.0,330.6,2,3,281.105,Rest_of_the_world,YouTube
1602.0,184.43,2,7,184.43,Rest_of_the_world,Friend
671.0,269.76,0,6,269.76,USA/Canada/As,Instagram
2408.0,82.04,2,2,82.04,Rest_of_the_world,Facebook
6937.0,174.0,2,7,174.0,Rest_of_the_world,Friend
94.0,149.99,2,1,149.99,Rest_of_the_world,Google
5554.0,484.69,1,3,281.105,West_EU,YouTube
228.0,64.8,0,7,64.8,USA/Canada/As,Friend
7270.0,302.48,0,3,281.105,USA/Canada/As,YouTube
126.0,91.5,2,3,91.5,Rest_of_the_world,YouTube
6012.0,207.06,2,7,207.06,Rest_of_the_world,Friend
6197.0,169.04,1,1,169.04,West_EU,Google
4139.0,331.99,2,3,281.105,Rest_of_the_world,YouTube
828.0,233.63,1,1,233.63,West_EU,Google
2076.0,36.0,2,3,36.0,Rest_of_the_world,YouTube
2967.0,62.58,2,3,62.58,Rest_of_the_world,YouTube
115.0,150.64,0,1,150.64,USA/Canada/As,Google
2719.0,187.57,2,3,187.57,Rest_of_the_world,YouTube
1166.0,62.58,2,1,62.58,Rest_of_the_world,Google
2432.0,149.99,2,1,149.99,Rest_of_the_world,Google
6261.0,245.98,2,1,245.98,Rest_of_the_world,Google
22927.0,245.98,0,3,245.98,USA/Canada/As,YouTube
5912.0,279.59,2,1,279.59,Rest_of_the_world,Google
5935.0,245.98,2,3,245.98,Rest_of_the_world,YouTube
25.0,149.68,0,1,149.68,USA/Canada/As,Google
15163.0,149.99,2,1,149.99,Rest_of_the_world,Google
4199.0,149.99,2,3,149.99,Rest_of_the_world,YouTube
2334.0,248.43,0,2,248.43,USA/Canada/As,Facebook
