,minutes_watched,clv,clv_wins,region,channel
0,3197.0,205.42,205.42,Rest_of_the_world,LinkedIn
1,63.0,149.99,149.99,USA/Canada/As,Google
2,605.0,119.0,119.0,Rest_of_the_world,Facebook
3,20.0,240.0,240.0,Rest_of_the_world,LinkedIn
4,245.0,184.36,184.36,West_EU,LinkedIn
5,259.0,418.63,281.105,USA/Canada/As,YouTube
6,5456.0,245.17,245.17,USA/Canada/As,Google
7,247.0,177.98,177.98,West_EU,YouTube
8,160.0,283.44,281.105,USA/Canada/As,YouTube
9,77.0,295.97,281.105,West_EU,Google
10,231.0,202.88,202.88,USA/Canada/As,YouTube
11,611.0,149.99,149.99,USA/Canada/As,LinkedIn
12,5915.0,366.45,281.105,West_EU,Google
13,816.0,82.58,82.58,Rest_of_the_world,YouTube
14,1312.0,269.97,269.97,Rest_of_the_world,YouTube
15,28988.0,253.93,253.93,Rest_of_the_world,Other
16,1319.0,193.63,193.63,USA/Canada/As,Google
17,9158.0,53.94,53.94,USA/Canada/As,Google
18,51411.0,449.42,281.105,Rest_of_the_world,YouTube
19,2812.0,207.12,207.12,West_EU,YouTube
20,5811.0,180.17,180.17,Rest_of_the_world,YouTube
21,1574.0,180.17,180.17,West_EU,Instagram
22,8121.0,269.97,269.97,USA/Canada/As,Other
23,399.0,149.99,149.99,Rest_of_the_world,LinkedIn
24,1817.0,269.97,269.97,USA/Canada/As,YouTube
25,42437.0,285.76,281.105,USA/Canada/As,YouTube
26,5574.0,286.17,281.105,Rest_of_the_world,YouTube
27,266.0,149.99,149.99,Rest_of_the_world,Friend
28,4461.0,287.49,281.105,USA/Canada/As,Google
29,3326.0,102.18,102.18,Rest_of_the_world,LinkedIn
30,9410.0,185.98,185.98,Rest_of_the_world,Twitter
31,1632.0,202.04,202.04,Rest_of_the_world,Google
32,4071.0,149.98,149.98,USA/Canada/As,Friend
33,14036.0,180.52,180.52,Rest_of_the_world,YouTube
34,6438.0,515.24,281.105,Rest_of_the_world,Google
35,2984.0,363.79,281.105,West_EU,YouTube
36,61.0,149.99,149.99,USA/Canada/As,LinkedIn
37,4499.0,86.24,86.24,Rest_of_the_world,Facebook
38,315.0,149.98,149.98,USA/Canada/As,LinkedIn
39,2991.0,306.58,281.105,Rest_of_the_world,Google
40,7761.0,176.98,176.98,Rest_of_the_world,Google
41,1293.0,358.18,281.105,West_EU,Google
42,3602.0,269.96,269.96,Rest_of_the_world,Google
43,2843.0,286.09,281.105,USA/Canada/As,Friend
44,2646.0,269.97,269.97,USA/Canada/As,YouTube
45,1582.0,75.42,75.42,Rest_of_the_world,LinkedIn
46,6404.0,528.89,281.105,Rest_of_the_world,Google
47,8413.0,302.11,281.105,West_EU,YouTube
48,3492.0,223.22,223.22,West_EU,Friend
49,34370.0,295.71,281.105,USA/Canada/As,Google
50,1188.0,147.0,147.0,Rest_of_the_world,Google
51,611.0,353.53,281.105,USA/Canada/As,YouTube
52,980.0,359.03,281.105,USA/Canada/As,LinkedIn
53,1171.0,268.99,268.99,Rest_of_the_world,Twitter
54,55380.0,64.8,64.8,USA/Canada/As,Friend
55,3.0,213.61,213.61,Rest_of_the_world,LinkedIn
56,1616.0,174.01,174.01,Rest_of_the_world,YouTube
57,288.0,184.44,184.44,Rest_of_the_world,Friend
58,1465.0,270.49,270.49,USA/Canada/As,Google
59,6331.0,99.0,99.0,Rest_of_the_world,LinkedIn
60,313.0,118.47,118.47,Rest_of_the_world,Google
61,804.0,213.97,213.97,Rest_of_the_world,YouTube
62,1971.0,207.55,207.55,USA/Canada/As,YouTube
63,1054.0,172.8,172.8,Rest_of_the_world,Friend
64,9138.0,245.98,245.98,Rest_of_the_world,LinkedIn
65,2128.0,333.9,281.105,USA/Canada/As,YouTube
66,3875.0,331.99,281.105,USA/Canada/As,YouTube
67,12436.0,84.96,84.96,Rest_of_the_world,YouTube
68,3564.0,62.58,62.58,Rest_of_the_world,Google
69,2571.0,36.0,36.0,USA/Canada/As,Other
70,214.0,119.0,119.0,USA/Canada/As,YouTube
71,10616.0,350.09,281.105,Rest_of_the_world,Friend
72,55539.0,313.2,281.105,Rest_of_the_world,YouTube
73,11578.0,285.36,281.105,Rest_of_the_world,YouTube
74,766.0,177.41,177.41,Rest_of_the_world,Google
75,2912.0,269.97,269.97,USA/Canada/As,Instagram
76,3229.0,62.58,62.58,Rest_of_the_world,Google
77,37167.0,388.62,281.105,Rest_of_the_world,YouTube
78,59.0,129.6,129.6,Rest_of_the_world,LinkedIn
79,1390.0,46.0,46.0,Rest_of_the_world,LinkedIn
80,2778.0,227.78,227.78,West_EU,LinkedIn
81,613.0,184.44,184.44,USA/Canada/As,Google
82,9005.0,285.36,281.105,USA/Canada/As,Google
83,4315.0,149.99,149.99,Rest_of_the_world,YouTube
84,262.0,174.0,174.0,Rest_of_the_world,LinkedIn
85,4308.0,184.45,184.45,Rest_of_the_world,YouTube
86,89131.0,496.08,281.105,USA/Canada/As,Friend
87,2327.0,330.6,281.105,Rest_of_the_world,YouTube
88,1602.0,184.43,184.43,Rest_of_the_world,Friend
89,671.0,269.76,269.76,USA/Canada/As,Instagram
90,2408.0,82.04,82.04,Rest_of_the_world,Facebook
91,6937.0,174.0,174.0,Rest_of_the_world,Friend
92,94.0,149.99,149.99,Rest_of_the_world,Google
93,5554.0,484.69,281.105,West_EU,YouTube
94,228.0,64.8,64.8,USA/Canada/As,Friend
95,7270.0,302.48,281.105,USA/Canada/As,YouTube
96,126.0,91.5,91.5,Rest_of_the_world,YouTube
97,6012.0,207.06,207.06,Rest_of_the_world,Friend
98,6197.0,169.04,169.04,West_EU,Google
99,4139.0,331.99,281.105,Rest_of_the_world,YouTube
100,828.0,233.63,233.63,West_EU,Google
101,2076.0,36.0,36.0,Rest_of_the_world,YouTube
102,2967.0,62.58,62.58,Rest_of_the_world,YouTube
103,115.0,150.64,150.64,USA/Canada/As,Google
104,2719.0,187.57,187.57,Rest_of_the_world,YouTube
105,1166.0,62.58,62.58,Rest_of_the_world,Google
106,2432.0,149.99,149.99,Rest_of_the_world,Google
107,6261.0,245.98,245.98,Rest_of_the_world,Google
108,22927.0,245.98,245.98,USA/Canada/As,YouTube
109,5912.0,279.59,279.59,Rest_of_the_world,Google
110,5935.0,245.98,245.98,Rest_of_the_world,YouTube
111,25.0,149.68,149.68,USA/Canada/As,Google
112,15163.0,149.99,149.99,Rest_of_the_world,Google
113,4199.0,149.99,149.99,Rest_of_the_world,YouTube
114,2334.0,248.43,248.43,USA/Canada/As,Facebook
115,19502.0,171.58,171.58,Rest_of_the_world,Google
116,4087.0,184.44,184.44,USA/Canada/As,Google
117,302.0,150.0,150.0,Rest_of_the_world,YouTube
118,6853.0,149.99,149.99,Rest_of_the_world,YouTube
119,3194.0,62.58,62.58,Rest_of_the_world,Friend
120,43.0,63.63,63.63,Rest_of_the_world,YouTube
121,2311.0,147.0,147.0,Rest_of_the_world,Google
122,2387.0,207.57,207.57,West_EU,Instagram
123,2964.0,313.2,281.105,Rest_of_the_world,Friend
124,2931.0,184.44,184.44,Rest_of_the_world,Google
125,1707.0,149.99,149.99,USA/Canada/As,Friend
126,13349.0,64.8,64.8,Rest_of_the_world,YouTube
127,2389.0,331.99,281.105,Rest_of_the_world,Facebook
128,1242.0,331.99,281.105,USA/Canada/As,YouTube
129,997.0,149.72,149.72,USA/Canada/As,YouTube
130,2058.0,230.97,230.97,West_EU,Google
131,171.0,149.99,149.99,USA/Canada/As,Google
132,927.0,212.91,212.91,West_EU,Google
133,229.0,184.44,184.44,USA/Canada/As,YouTube
134,2575.0,149.99,149.99,Rest_of_the_world,YouTube
135,26240.0,64.8,64.8,USA/Canada/As,Other
136,13035.0,365.71,281.105,West_EU,LinkedIn
137,1162.0,119.0,119.0,USA/Canada/As,YouTube
138,33.0,149.99,149.99,USA/Canada/As,Google
139,401.0,323.82,281.105,West_EU,YouTube
140,8273.0,207.37,207.37,West_EU,YouTube
141,3021.0,172.15,172.15,Rest_of_the_world,Friend
142,291.0,325.04,281.105,Rest_of_the_world,Google
143,3500.0,62.58,62.58,Rest_of_the_world,Facebook
144,7692.0,271.71,271.71,USA/Canada/As,YouTube
145,7638.0,184.64,184.64,Rest_of_the_world,YouTube
146,14810.0,285.36,281.105,Rest_of_the_world,Google
147,1187.0,360.88,281.105,West_EU,Friend
148,55284.0,64.8,64.8,USA/Canada/As,Google
149,5849.0,342.2,281.105,Rest_of_the_world,YouTube
150,3632.0,270.69,270.69,USA/Canada/As,Instagram
151,24213.0,199.49,199.49,Rest_of_the_world,LinkedIn
152,357.0,149.99,149.99,Rest_of_the_world,Google
153,5605.0,304.63,281.105,West_EU,YouTube
154,9074.0,119.0,119.0,USA/Canada/As,Facebook
155,3997.0,343.82,281.105,West_EU,YouTube
156,1443.0,313.77,281.105,Rest_of_the_world,Friend
157,1409.0,19.0,19.0,Rest_of_the_world,Other
158,48.0,119.0,119.0,Rest_of_the_world,LinkedIn
159,1268.0,313.26,281.105,Rest_of_the_world,Google
160,46.0,63.63,63.63,Rest_of_the_world,LinkedIn
161,8231.0,174.14,174.14,USA/Canada/As,Google
162,20799.0,174.0,174.0,USA/Canada/As,Google
163,957.0,269.98,269.98,USA/Canada/As,Friend
164,348.0,174.0,174.0,USA/Canada/As,YouTube
165,2522.0,313.42,281.105,USA/Canada/As,YouTube
166,14187.0,267.48,267.48,USA/Canada/As,YouTube
167,3750.0,331.79,281.105,USA/Canada/As,YouTube
168,1407.0,146.93,146.93,USA/Canada/As,Google
169,1915.0,62.58,62.58,Rest_of_the_world,Google
170,72.0,259.02,259.02,Rest_of_the_world,Friend
171,1354.0,119.0,119.0,Rest_of_the_world,Other
172,263.0,182.51,182.51,West_EU,Instagram
173,585.0,149.99,149.99,Rest_of_the_world,YouTube
174,1569.0,302.48,281.105,USA/Canada/As,YouTube
175,2031.0,174.0,174.0,USA/Canada/As,Google
176,3468.0,443.98,281.105,USA/Canada/As,YouTube
177,247.0,119.0,119.0,USA/Canada/As,YouTube
178,1231.0,184.44,184.44,USA/Canada/As,YouTube
179,54.0,49.5,49.5,USA/Canada/As,Google
180,289.0,121.0,121.0,Rest_of_the_world,Google
181,444.0,77.3,77.3,Rest_of_the_world,LinkedIn
182,423.0,36.0,36.0,USA/Canada/As,Other
183,629.0,150.24,150.24,Rest_of_the_world,YouTube
184,507.0,62.58,62.58,Rest_of_the_world,Google
185,2483.0,184.44,184.44,Rest_of_the_world,YouTube
186,8867.0,245.98,245.98,Rest_of_the_world,Google
187,32131.0,292.6,281.105,West_EU,YouTube
188,2623.0,149.99,149.99,Rest_of_the_world,YouTube
189,909.0,149.99,149.99,Rest_of_the_world,YouTube
190,21279.0,269.98,269.98,Rest_of_the_world,Friend
191,356.0,149.99,149.99,Rest_of_the_world,Instagram
192,8022.0,48.6,48.6,USA/Canada/As,YouTube
193,1502.0,269.98,269.98,Rest_of_the_world,Facebook
194,94.0,149.99,149.99,Rest_of_the_world,YouTube
195,32947.0,217.18,217.18,Rest_of_the_world,Instagram
196,9723.0,157.2,157.2,Rest_of_the_world,Instagram
197,20292.0,245.98,245.98,Rest_of_the_world,Other
198,3704.0,61.2,61.2,Rest_of_the_world,Google
199,9930.0,62.58,62.58,Rest_of_the_world,LinkedIn
200,1869.0,149.99,149.99,Rest_of_the_world,Instagram
201,2283.0,246.42,246.42,USA/Canada/As,YouTube
202,780.0,149.99,149.99,Rest_of_the_world,Facebook
203,34.0,358.0,281.105,West_EU,Facebook
204,771.0,162.37,162.37,Rest_of_the_world,Facebook
205,12035.0,217.44,217.44,Rest_of_the_world,Google
206,364.0,62.58,62.58,Rest_of_the_world,LinkedIn
207,163.0,270.04,270.04,Rest_of_the_world,LinkedIn
208,3001.0,24.71,24.71,Rest_of_the_world,Google
209,19622.0,245.98,245.98,Rest_of_the_world,YouTube
210,4384.0,245.98,245.98,Rest_of_the_world,Google
211,1224.0,269.98,269.98,Rest_of_the_world,YouTube
212,538.0,149.99,149.99,Rest_of_the_world,Instagram
213,1116.0,149.99,149.99,Rest_of_the_world,Google
214,1518.0,150.44,150.44,USA/Canada/As,Google
215,324.0,300.06,281.105,USA/Canada/As,LinkedIn
216,189.0,150.19,150.19,Rest_of_the_world,YouTube
217,2781.0,184.44,184.44,USA/Canada/As,YouTube
218,484.0,9.5,9.5,Rest_of_the_world,Google
219,1416.0,19.0,19.0,Rest_of_the_world,YouTube
220,831.0,149.99,149.99,Rest_of_the_world,Facebook
221,1852.0,62.58,62.58,Rest_of_the_world,YouTube
222,176.0,36.0,36.0,Rest_of_the_world,YouTube
223,488.0,121.0,121.0,USA/Canada/As,Google
224,25571.0,144.0,144.0,USA/Canada/As,YouTube
225,616.0,348.13,281.105,USA/Canada/As,YouTube
226,694.0,184.44,184.44,Rest_of_the_world,Facebook
227,1512.0,174.61,174.61,Rest_of_the_world,LinkedIn
228,929.0,149.99,149.99,USA/Canada/As,Google
229,3153.0,99.0,99.0,West_EU,Google
230,14177.0,230.35,230.35,USA/Canada/As,Google
231,1914.0,174.0,174.0,Rest_of_the_world,Google
232,382.0,174.0,174.0,USA/Canada/As,Google
233,81.0,331.99,281.105,USA/Canada/As,YouTube
234,1827.0,149.99,149.99,Rest_of_the_world,Other
235,1548.0,184.44,184.44,Rest_of_the_world,YouTube
236,5193.0,174.62,174.62,USA/Canada/As,YouTube
237,26.0,149.99,149.99,USA/Canada/As,YouTube
238,756.0,174.0,174.0,West_EU,LinkedIn
239,5454.0,149.99,149.99,Rest_of_the_world,Google
240,620.0,184.44,184.44,USA/Canada/As,Google
241,229.0,174.0,174.0,USA/Canada/As,LinkedIn
242,371.0,173.99,173.99,Rest_of_the_world,Google
243,1517.0,173.59,173.59,USA/Canada/As,Other
244,188.0,119.0,119.0,USA/Canada/As,LinkedIn
245,1360.0,174.0,174.0,Rest_of_the_world,Facebook
246,11949.0,378.8,281.105,West_EU,Facebook
247,749.0,172.8,172.8,USA/Canada/As,Friend
248,46.0,145.67,145.67,West_EU,Google
249,2252.0,394.64,281.105,West_EU,Google
250,15353.0,626.4,281.105,Rest_of_the_world,YouTube
251,8623.0,335.41,281.105,West_EU,Google
252,920.0,174.0,174.0,USA/Canada/As,YouTube
253,654.0,141.12,141.12,Rest_of_the_world,LinkedIn
254,115.0,147.12,147.12,Rest_of_the_world,YouTube
255,173.0,62.58,62.58,Rest_of_the_world,Google
256,1749.0,182.16,182.16,West_EU,YouTube
257,520.0,178.03,178.03,West_EU,Friend
258,2729.0,413.78,281.105,West_EU,Friend
259,491.0,72.56,72.56,Rest_of_the_world,Friend
260,1335.0,174.0,174.0,Rest_of_the_world,YouTube
261,5306.0,270.4,270.4,West_EU,YouTube
262,5561.0,184.44,184.44,USA/Canada/As,YouTube
263,3697.0,64.8,64.8,USA/Canada/As,YouTube
264,989.0,181.12,181.12,West_EU,Google
265,2938.0,82.05,82.05,Rest_of_the_world,Friend
266,446.0,62.22,62.22,Rest_of_the_world,Instagram
267,3562.0,90.86,90.86,Rest_of_the_world,Google
268,314.0,49.5,49.5,USA/Canada/As,YouTube
269,417.0,222.32,222.32,West_EU,YouTube
270,234.0,174.0,174.0,USA/Canada/As,YouTube
271,714.0,184.44,184.44,Rest_of_the_world,YouTube
272,65.0,129.6,129.6,Rest_of_the_world,Google
273,2512.0,174.0,174.0,Rest_of_the_world,YouTube
274,12723.0,373.73,281.105,Rest_of_the_world,YouTube
275,7207.0,173.5,173.5,USA/Canada/As,Other
276,14553.0,441.9,281.105,West_EU,Google
277,1394.0,240.0,240.0,Rest_of_the_world,YouTube
278,3767.0,174.0,174.0,Rest_of_the_world,YouTube
279,292.0,187.95,187.95,West_EU,YouTube
280,40488.0,185.7,185.7,USA/Canada/As,Friend
281,14621.0,18.0,18.0,Rest_of_the_world,LinkedIn
282,913.0,184.14,184.14,West_EU,LinkedIn
283,133.0,62.57,62.57,Rest_of_the_world,Friend
284,2085.0,273.0,273.0,USA/Canada/As,YouTube
285,643.0,174.0,174.0,USA/Canada/As,Google
286,8289.0,211.44,211.44,Rest_of_the_world,YouTube
287,1164.0,149.99,149.99,West_EU,YouTube
288,186.0,62.58,62.58,Rest_of_the_world,Google
289,1.0,149.99,149.99,USA/Canada/As,Google
290,686.0,149.99,149.99,Rest_of_the_world,YouTube
291,901.0,133.0,133.0,USA/Canada/As,Google
292,1750.0,173.45,173.45,USA/Canada/As,YouTube
293,89.0,184.51,184.51,USA/Canada/As,Google
294,461.0,184.44,184.44,USA/Canada/As,Friend
295,5156.0,106.1,106.1,USA/Canada/As,LinkedIn
296,41.0,62.58,62.58,Rest_of_the_world,Instagram
297,1653.0,91.5,91.5,Rest_of_the_world,YouTube
298,1606.0,149.8,149.8,West_EU,Google
299,631.0,240.0,240.0,USA/Canada/As,Friend
300,1614.0,149.99,149.99,USA/Canada/As,Google
301,1028.0,149.98,149.98,Rest_of_the_world,Google
302,1675.0,119.0,119.0,Rest_of_the_world,LinkedIn
303,918.0,68.36,68.36,Rest_of_the_world,Friend
304,1861.0,149.99,149.99,USA/Canada/As,YouTube
305,2595.0,149.66,149.66,Rest_of_the_world,YouTube
306,2239.0,149.99,149.99,Rest_of_the_world,YouTube
307,203.0,149.99,149.99,USA/Canada/As,Google
308,152.0,149.99,149.99,Rest_of_the_world,LinkedIn
309,1055.0,149.99,149.99,Rest_of_the_world,YouTube
310,653.0,30.0,30.0,Rest_of_the_world,YouTube
311,914.0,149.99,149.99,USA/Canada/As,LinkedIn
312,380.0,149.99,149.99,USA/Canada/As,Google
313,1379.0,149.99,149.99,Rest_of_the_world,Friend
314,674.0,149.99,149.99,Rest_of_the_world,YouTube
315,1743.0,149.99,149.99,USA/Canada/As,YouTube
316,5004.0,149.99,149.99,Rest_of_the_world,Google
317,5357.0,149.74,149.74,USA/Canada/As,Google
318,4587.0,133.75,133.75,West_EU,YouTube
319,539.0,149.99,149.99,USA/Canada/As,YouTube
320,826.0,184.44,184.44,USA/Canada/As,YouTube
321,396.0,178.14,178.14,West_EU,YouTube
322,836.0,149.99,149.99,Rest_of_the_world,YouTube
323,11346.0,149.99,149.99,Rest_of_the_world,Google
324,983.0,150.0,150.0,USA/Canada/As,Instagram
325,476.0,149.99,149.99,Rest_of_the_world,Other
326,1785.0,10.0,10.0,West_EU,Facebook
327,125.0,149.99,149.99,USA/Canada/As,YouTube
328,68.0,149.99,149.99,Rest_of_the_world,YouTube
329,409.0,178.8,178.8,West_EU,YouTube
330,321.0,138.0,138.0,USA/Canada/As,Google
331,666.0,150.13,150.13,Rest_of_the_world,Google
332,150.0,150.28,150.28,USA/Canada/As,Facebook
333,320.0,79.41,79.41,Rest_of_the_world,YouTube
334,3230.0,174.0,174.0,USA/Canada/As,YouTube
335,3461.0,239.96,239.96,West_EU,YouTube
336,220.0,184.44,184.44,USA/Canada/As,YouTube
337,1127.0,174.28,174.28,USA/Canada/As,YouTube
338,289.0,62.58,62.58,Rest_of_the_world,YouTube
339,372.0,27.0,27.0,Rest_of_the_world,Instagram
340,3702.0,174.0,174.0,Rest_of_the_world,Friend
341,130.0,181.95,181.95,West_EU,Facebook
342,544.0,174.0,174.0,USA/Canada/As,YouTube
343,1305.0,184.44,184.44,Rest_of_the_world,YouTube
344,2505.0,212.97,212.97,West_EU,Google
345,263.0,149.99,149.99,USA/Canada/As,Friend
346,110.0,174.0,174.0,USA/Canada/As,Friend
347,0.0,183.92,183.92,USA/Canada/As,YouTube
348,1283.0,184.44,184.44,Rest_of_the_world,YouTube
349,1741.0,62.58,62.58,Rest_of_the_world,YouTube
350,21.0,137.99,137.99,USA/Canada/As,Friend
351,6132.0,174.0,174.0,Rest_of_the_world,Google
352,12677.0,150.42,150.42,USA/Canada/As,YouTube
353,661.0,186.9,186.9,USA/Canada/As,YouTube
354,148.0,62.56,62.56,Rest_of_the_world,YouTube
355,1972.0,184.04,184.04,USA/Canada/As,Instagram
356,4440.0,138.0,138.0,USA/Canada/As,Google
357,198.0,141.26,141.26,West_EU,YouTube
358,3555.0,184.44,184.44,Rest_of_the_world,YouTube
359,1615.0,149.99,149.99,Rest_of_the_world,Google
360,339.0,212.94,212.94,West_EU,Instagram
361,202.0,149.99,149.99,Rest_of_the_world,YouTube
362,536.0,62.58,62.58,Rest_of_the_world,Facebook
363,190.0,174.0,174.0,Rest_of_the_world,Friend
364,785.0,62.58,62.58,Rest_of_the_world,Google
365,108329.0,344.4,281.105,Rest_of_the_world,YouTube
366,28815.0,269.67,269.67,West_EU,Other
367,366.0,137.98,137.98,USA/Canada/As,Google
368,668.0,43.82,43.82,West_EU,YouTube
369,1146.0,174.0,174.0,Rest_of_the_world,YouTube
370,10438.0,55.0,55.0,Rest_of_the_world,YouTube
371,1171.0,174.22,174.22,Rest_of_the_world,LinkedIn
372,1132.0,221.47,221.47,West_EU,Friend
373,514.0,184.45,184.45,Rest_of_the_world,Google
374,5018.0,184.44,184.44,USA/Canada/As,Google
375,827.0,184.44,184.44,Rest_of_the_world,Friend
376,10796.0,64.8,64.8,Rest_of_the_world,Google
377,1277.0,149.99,149.99,Rest_of_the_world,YouTube
378,3076.0,182.55,182.55,USA/Canada/As,LinkedIn
379,8158.0,174.0,174.0,Rest_of_the_world,YouTube
380,530.0,34.2,34.2,Rest_of_the_world,Friend
381,761.0,174.47,174.47,USA/Canada/As,YouTube
382,504.0,184.44,184.44,USA/Canada/As,YouTube
383,692.0,144.45,144.45,West_EU,Instagram
384,429.0,142.15,142.15,West_EU,Other
385,2377.0,65.88,65.88,Rest_of_the_world,Twitter
386,7800.0,209.92,209.92,West_EU,YouTube
387,577.0,62.58,62.58,Rest_of_the_world,LinkedIn
388,372.0,178.91,178.91,West_EU,Friend
389,402.0,122.56,122.56,West_EU,Google
390,697.0,174.0,174.0,USA/Canada/As,YouTube
391,2383.0,168.23,168.23,Rest_of_the_world,YouTube
392,277.0,36.19,36.19,USA/Canada/As,YouTube
393,588.0,285.23,281.105,West_EU,LinkedIn
394,742.0,86.25,86.25,Rest_of_the_world,LinkedIn
395,17266.0,184.8,184.8,West_EU,Instagram
396,2303.0,174.0,174.0,USA/Canada/As,Google
397,11916.0,64.8,64.8,USA/Canada/As,Google
398,2659.0,155.0,155.0,Rest_of_the_world,Friend
399,499.0,36.0,36.0,Rest_of_the_world,LinkedIn
400,18983.0,209.78,209.78,West_EU,Instagram
401,1373.0,61.2,61.2,Rest_of_the_world,YouTube
402,15877.0,59.04,59.04,USA/Canada/As,YouTube
403,1904.0,62.58,62.58,Rest_of_the_world,Google
404,1322.0,86.25,86.25,Rest_of_the_world,Google
405,45.0,174.0,174.0,USA/Canada/As,Facebook
406,714.0,177.69,177.69,West_EU,YouTube
407,1804.0,149.98,149.98,Rest_of_the_world,Google
408,3216.0,93.67,93.67,Rest_of_the_world,Google
409,144.0,143.28,143.28,Rest_of_the_world,Google
410,1383.0,243.14,243.14,West_EU,Facebook
411,47.0,212.76,212.76,West_EU,Google
412,289.0,118.58,118.58,USA/Canada/As,Facebook
413,2238.0,128.36,128.36,West_EU,YouTube
414,457.0,149.99,149.99,Rest_of_the_world,YouTube
415,1995.0,62.58,62.58,Rest_of_the_world,Other
416,27636.0,136.21,136.21,West_EU,Google
417,58.0,36.0,36.0,Rest_of_the_world,Google
418,13482.0,64.8,64.8,Rest_of_the_world,YouTube
419,89.0,149.99,149.99,Rest_of_the_world,YouTube
420,468.0,149.99,149.99,Rest_of_the_world,YouTube
421,143.0,178.24,178.24,West_EU,YouTube
422,3570.0,209.29,209.29,West_EU,Google
423,497.0,174.0,174.0,USA/Canada/As,Facebook
424,0.0,4.19,4.19,Rest_of_the_world,YouTube
425,800.0,62.57,62.57,Rest_of_the_world,Twitter
426,500.0,149.99,149.99,USA/Canada/As,Google
427,291.0,149.99,149.99,Rest_of_the_world,YouTube
428,426.0,174.0,174.0,USA/Canada/As,YouTube
429,147.0,174.0,174.0,Rest_of_the_world,Google
430,967.0,36.0,36.0,USA/Canada/As,YouTube
431,732.0,215.76,215.76,Rest_of_the_world,Friend
432,383.0,180.58,180.58,West_EU,Google
433,124.0,347.19,281.105,USA/Canada/As,YouTube
434,814.0,149.53,149.53,USA/Canada/As,Friend
435,7567.0,347.05,281.105,USA/Canada/As,Other
436,1.0,49.36,49.36,USA/Canada/As,Other
437,158.0,27.0,27.0,Rest_of_the_world,Google
438,3626.0,160.97,160.97,USA/Canada/As,YouTube
439,7585.0,118.91,118.91,Rest_of_the_world,Instagram
440,0.0,149.61,149.61,West_EU,Friend
441,74.0,184.44,184.44,USA/Canada/As,YouTube
442,1745.0,216.52,216.52,USA/Canada/As,Instagram
443,9094.0,184.37,184.37,West_EU,Instagram
444,843.0,36.0,36.0,Rest_of_the_world,Friend
445,255.0,149.99,149.99,USA/Canada/As,YouTube
446,4588.0,174.6,174.6,Rest_of_the_world,Friend
447,4307.0,174.6,174.6,Rest_of_the_world,YouTube
448,655.0,149.99,149.99,Rest_of_the_world,Instagram
449,935.0,118.63,118.63,USA/Canada/As,LinkedIn
450,2408.0,149.99,149.99,USA/Canada/As,Google
451,317.0,118.32,118.32,Rest_of_the_world,YouTube
452,927.0,149.63,149.63,USA/Canada/As,YouTube
453,79.0,149.99,149.99,USA/Canada/As,Facebook
454,2250.0,149.99,149.99,USA/Canada/As,Facebook
455,7.0,62.58,62.58,Rest_of_the_world,Google
456,10865.0,0.0,0.0,Rest_of_the_world,YouTube
457,1398.0,36.0,36.0,Rest_of_the_world,LinkedIn
458,994.0,62.58,62.58,Rest_of_the_world,YouTube
459,3177.0,146.4,146.4,Rest_of_the_world,Instagram
460,261.0,149.99,149.99,USA/Canada/As,YouTube
461,234.0,149.99,149.99,West_EU,Google
462,1315.0,149.99,149.99,USA/Canada/As,Other
463,393.0,149.99,149.99,USA/Canada/As,YouTube
464,840.0,149.99,149.99,USA/Canada/As,Instagram
465,804.0,178.83,178.83,West_EU,Other
466,2542.0,119.0,119.0,USA/Canada/As,YouTube
467,0.0,149.99,149.99,Rest_of_the_world,Google
468,282.0,138.0,138.0,USA/Canada/As,YouTube
469,2897.0,179.59,179.59,Rest_of_the_world,Google
470,389.0,150.28,150.28,USA/Canada/As,Instagram
471,1506.0,97.1,97.1,USA/Canada/As,Google
